"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"NTES","NetEase Inc ADRs","China","PRIVATE","","Communication Services","$72,930,619,240","38.15","6.50","0.89","0.74%","2,300,414","Analyze"
"WBK","Westpac Banking Corp ADRs","Australia","AT:WBC","Asx - All Markets","Financials","$69,776,616,188","39.04","20.85","1.03","1.24%","107,977","Analyze"
"ABB","ABB Ltd ADRs","Switzerland","VX:ABBN","Six Swiss - Blue Chips Segment","Industrials","$66,475,425,774","13.20","2.54","4.33","2.85%","1,732,300","Analyze"
"EQNR","Equinor ASA ADRs","Norway","NO:STL","Oslo Bors Asa","Energy","$63,427,179,655","-11.51","1.51","1.87","2.84%","2,501,691","Analyze"
"BBL","BHP Group PLC ADRs","United Kingdom","LN:BHP","London Stock Exchange","Communication Services","$62,644,049,469","8.40","1.13","1.28","5.20%","2,062,060","Analyze"
"UBS","UBS Group AG ADRs","Switzerland","VX:UBSG","Six Swiss - Blue Chips Segment","Financials","$61,783,476,874","9.42","1.86","1.04","2.23%","3,316,043","Analyze"
"NIO","NIO Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$61,280,765,308","0.00","24.75","1.87","0.00%","109,430,091","Analyze"
"SAN","Banco Santander SA ADRs","Spain","SM:SAN","Bolsa De Madrid","Financials","$60,172,025,318","6.97","1.44","0.74","4.39%","5,071,904","Analyze"
"TAK","Takeda Pharmaceutical Company Limited ADRs","Japan","JT:4502","Tokyo Stock Exchange","Health Care","$57,380,010,251","34.87","1.97","0.01","2.37%","2,683,026","Analyze"
"PUK","Prudential PLC ADRs","United Kingdom","LN:PRU","London Stock Exchange","Financials","$57,068,755,581","-48.47","1.36","2.73","0.73%","204,239","Analyze"
"HMC","Honda Motor Co Ltd ADRs","Japan","JT:7267","Tokyo Stock Exchange","Consumer Discretionary","$55,121,767,125","13.89","0.47","0.01","1.71%","820,228","Analyze"
"PBR","Petroleo Brasileiro SA ADRs","Brazil","BS:PETR3","XBSP","Energy","$54,795,559,842","44.47","1.48","0.53","2.19%","33,210,366","Analyze"
"PBR.A","Petroleo Brasileiro-Petrobras ADRs","Brazil","BS:PETR4","XBSP","Energy","$54,795,559,842","44.87","6.29","0.40","1.63%","9,462,074","Analyze"
"IBN","ICICI Bank Ltd ADRs","India","IS:ICICIBANK","National Stock Exchange Of India","Financials","$54,725,526,140","26.19","3.59","0.04","0.14%","5,970,955","Analyze"
"PHG","Koninklijke Philips NV ADRs","The Netherlands","NA:PHIA","Nyse Euronext - Euronext Amsterdam","Industrials","$53,843,232,359","38.56","2.34","4.54","1.55%","431,910","Analyze"
"VOD","Vodacom Group Ltd ADRs","United Kingdom","LN:VOD","London Stock Exchange","Communication Services","$53,333,055,991","18.71","0.81","0.91","5.62%","4,073,875","Analyze"
"BEKE","KE Holdings Inc ADRs of Class A","China","PRIVATE","","Real Estate","$52,325,889,715","0.00","4.12","0.78","0.00%","4,720,206","Analyze"
"SMFG","Sumitomo Mitsui Financial Group Inc ADRs","Japan","JT:8316","Tokyo Stock Exchange","Financials","$50,532,713,261","157.20","1.78","0.00","2.48%","1,587,673","Analyze"
"RELX","RELX PLC ADRs","United Kingdom","LN:REL","London Stock Exchange","Industrials","$50,275,044,628","29.89","3.91","23.95","2.21%","757,343","Analyze"
"ING","ING Groep NV ADRs","The Netherlands","NA:INGA","Nyse Euronext - Euronext Amsterdam","Information Technology","$48,510,715,028","16.61","2.45","0.89","1.14%","8,275,725","Analyze"
"E","ENI SpA ADRs","Italy","IM:ENI","Borsa Italiana S.P.A.","Energy","$45,336,461,992","15.99","0.70","1.21","4.89%","340,886","Analyze"
"BCS","Barclays PLC ADRs","United Kingdom","LN:BARC","London Stock Exchange","Financials","$44,784,782,439","0.00","0.00","0.00","0.54%","7,326,036","Analyze"
"ABEV","Ambev SA ADRs","Brazil","BS:ABEV3","XBSP","Consumer Staples","$42,799,520,865","22.18","3.98","0.58","0.52%","18,080,894","Analyze"
"NGG","National Grid ADRs","United Kingdom","LN:NG","London Stock Exchange","Utilities","$42,590,020,380","20.93","2.27","2.32","1.13%","417,796","Analyze"
"LYG","Lloyds Banking Group PLC ADRs","United Kingdom","LN:LLOY","London Stock Exchange","Financials","$42,143,331,036","7.88","1.13","0.86","4.41%","5,897,839","Analyze"
"ERIC","Telefonaktiebolaget LM Ericsson ADRs of Class B","Sweden","SS:ERIC-B","Nasdaq Omx Nordic","Information Technology","$41,170,103,077","23.93","1.50","0.48","1.53%","6,341,125","Analyze"
"BILI","Bilibili Inc. ADRs","China","PRIVATE","","Communication Services","$38,142,294,031","0.00","20.88","4.27","0.00%","7,636,540","Analyze"
"MFG","Mizuho Financial Group Inc ADRs","Japan","JT:8411","Tokyo Stock Exchange","Financials","$37,834,823,430","10.34","1.72","0.00","2.41%","340,802","Analyze"
"BBD","Banco Bradesco SA ADRs","Brazil","BS:BBDC4","XBSP","Financials","$37,698,403,786","14.76","34,757,307.19","2,644,924.37","2.62%","32,232,835","Analyze"
"BBDO","Banco Bradesco SA ADRs","Brazil","BS:BBDC3","XBSP","Financials","$37,698,403,786","1.43","0.56","0.14","2.72%","25,068","Analyze"
"CRH","CRH PLC ADRs","Ireland","ID:CRG","Irish Stock Exchange - All Market","Materials","$37,485,546,235","38.89","1.07","1.91","2.40%","606,101","Analyze"
"STM","STMicroelectronics NV ADRs","Italy","FP:STM","Euronext Paris","Information Technology","$36,340,228,070","32.89","3.41","4.30","0.42%","2,382,023","Analyze"
"LU","Lufax Holding Ltd ADRs","China","PRIVATE","","Financials","$36,275,909,002","23.35","5.07","0.44","0.00%","2,716,665","Analyze"
"WIT","Wipro Ltd ADRs","India","IS:WIPRO","National Stock Exchange Of India","Information Technology","$35,831,101,871","27.12","4.28","0.07","0.21%","1,778,212","Analyze"
"BBVA","Banco Bilbao Vizcaya Argentaria SA ADRs","Spain","SM:BBVA","Bolsa De Madrid","Financials","$35,539,835,471","32.81","1.22","0.80","3.27%","2,822,933","Analyze"
"ORAN","Orange SA ADRs","France","FP:ORA","Euronext Paris","Communication Services","$33,414,435,824","6.25","0.53","0.97","5.58%","653,069","Analyze"
"MT","ArcelorMittal ADRs","Luxembourg","NA:MT","Nyse Euronext - Euronext Amsterdam","Materials","$33,404,107,994","-45.57","0.68","0.87","1.02%","7,913,972","Analyze"
"TME","Tencent Music Entertainment Group  ADRs","China","PRIVATE","","Communication Services","$31,923,514,952","53.34","7.19","0.30","0.00%","64,023,040","Analyze"
"NWG","NatWest Group plc ADRs","United Kingdom","LN:RBS","London Stock Exchange","Financials","$31,602,030,718","24.22","2.06","0.72","1.54%","1,801,827","Analyze"
"CAJ","Canon Inc ADRs","Japan","JT:7751","Tokyo Stock Exchange","Information Technology","$31,103,363,980","32.24","1.10","0.01","3.13%","228,541","Analyze"
"CHT","Chunghwa Telecom Co Ltd ADRs","Taiwan","TT:2412","Taiwan Stock Exchange","Communication Services","$30,649,671,319","26.07","4.91","0.08","3.63%","129,241","Analyze"
"BGNE","BeiGene ADRs","China","HK:6160","Hong Kong Exchange","Health Care","$30,307,669,800","-18.98","98.12","7.83","0.00%","300,259","Analyze"
"BNTX","BioNTech SE  ADRs","Germany","PRIVATE","","Health Care","$27,779,431,788","0.00","48.98","20.25","0.00%","1,397,358","Analyze"
"CS","Credit Suisse Group AG ADRs","Switzerland","VX:CSGN","Six Swiss - Blue Chips Segment","Financials","$26,607,017,716","9.67","1.22","0.62","1.37%","7,821,953","Analyze"
"PKX","POSCO ADRs","South Korea","KP:005490","Korea Exchange (Stock Market)","Materials","$26,124,663,239","16.95","0.52","0.00","0.59%","264,997","Analyze"
"EC","Ecopetrol ADRs","Colombia","CX:ECOPETROL","Bolsa De Valores De Colombia","Energy","$25,944,634,356","5.95","1.90","0.00","7.03%","1,148,762","Analyze"
"RYAAY","Ryanair Holdings PLC ADRs","Ireland","ID:RY4C","Irish Stock Exchange - All Market","Industrials","$25,936,111,690","16.87","13.43","5.55","0.00%","513,062","Analyze"
"BSBR","Banco Santander Brasil ADRs","Brazil","BS:SANB11","XBSP","Financials","$25,682,472,100","10.97","3.45","0.24","2.77%","1,392,130","Analyze"
"TEF","Telefonica SA ADRs","Spain","SM:TEF","Bolsa De Madrid","Communication Services","$25,421,582,885","16.06","0.50","2.26","9.68%","1,514,144","Analyze"
"EDU","New Oriental Education & Technology ADRs","China","PRIVATE","","Consumer Discretionary","$24,496,187,652","64.56","6.81","5.21","0.00%","19,021,046","Analyze"
"TCOM","Trip.com Group Limited ADRs","China","PRIVATE","","Consumer Discretionary","$23,538,938,139","64.71","8.44","0.23","0.00%","5,363,140","Analyze"
"TLK","Telekomunikasi Indonesia Persero Tbk PT ADRs","Indonesia","IJ:TLKM","Indonesia Stock Exchange","Communication Services","$23,438,120,448","18.18","2.59","0.00","4.43%","192,389","Analyze"
"ITUB","Itau Unibanco Holding SA ADRs of Preferred Shares","Brazil","BS:ITUB4","XBSP","Financials","$23,405,431,297","0.00","0.00","0.00","1.64%","45,518,379","Analyze"
"NOK","Nokia OYJ ADRs","Finland","FH:NOKIA","Nasdaq Omx Helsinki Ltd.","Information Technology","$22,985,617,694","25.17","0.89","1.83","5.53%","37,736,508","Analyze"
"UMC","United Microelectronics Corp ADRs","Taiwan","TT:2303","Taiwan Stock Exchange","Information Technology","$22,860,746,436","22.29","3.64","0.10","1.48%","5,776,060","Analyze"
"LI","Li Auto Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$22,386,032,269","0.00","15.55","0.61","0.00%","14,177,446","Analyze"
"GMAB","Genmab A/S  ADRs","Denmark","DC:GEN","Omx Nordic Exchange Copenhagen A/S","Health Care","$21,952,076,673","26.59","0.00","1.15","0.00%","675,503","Analyze"
"IX","Orix ADRs","Japan","JT:8591","Tokyo Stock Exchange","Financials","$21,942,173,976","11.61","1.22","0.01","0.82%","24,818","Analyze"
"TAL","TAL Education Group ADRs","China","PRIVATE","","Consumer Discretionary","$21,896,790,069","-343.99","5.61","5.13","0.00%","7,551,559","Analyze"
"FMS","Fresenius Medical Care AG  ADRs","Germany","GF:FME","Frankfurt Stock Exchange","Health Care","$21,637,720,992","15.80","1.03","1.93","1.94%","362,677","Analyze"
"SKM","SK Telecom Co Ltd ADRs","South Korea","KP:017670","Korea Exchange (Stock Market)","Communication Services","$20,180,775,550","13.78","1.21","0.00","0.34%","368,881","Analyze"
"KB","KB Financial Group Inc ADRs","South Korea","KP:105560","Korea Exchange (Stock Market)","Financials","$20,145,893,724","6.31","0.90","0.00","3.23%","276,422","Analyze"
"ZTO","ZTO Express ADRs of Class A","China","PRIVATE","","Industrials","$18,937,196,525","35.47","4.93","0.39","1.03%","4,505,233","Analyze"
"VIPS","Vipshop Holdings Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$17,752,376,768","22.25","1.14","0.62","0.00%","24,894,519","Analyze"
"HTHT","Huazhu Group Limited ADRs","China","PRIVATE","","Consumer Discretionary","$17,743,571,668","79.24","11.43","1.57","0.64%","1,592,984","Analyze"
"NMR","Nomura Holdings Inc ADRs","Japan","JT:8604","Tokyo Stock Exchange","Financials","$17,655,251,801","6.87","1.40","0.01","3.50%","773,832","Analyze"
"XPEV","XPeng Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$17,488,995,893","0.00","18.92","0.51","0.00%","22,344,941","Analyze"
"ASX","Advanced Semiconductor Engineering Inc ADRs","Taiwan","TT:3711","Taiwan Stock Exchange","Financials","$17,228,676,960","17.90","1.03","0.08","1.72%","3,216,224","Analyze"
"SHG","Shinhan Financial Group Co Ltd ADRs","South Korea","KP:055550","Korea Exchange (Stock Market)","Financials","$17,109,777,228","5.64","0.72","0.00","4.02%","166,391","Analyze"
"FMX","Fomento Economico Mexicano SAB de CV ADRs","Mexico","MM:FEMSAUBD","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$16,982,534,917","32.92","0.56","0.07","1.85%","461,141","Analyze"
"SNN","Smith & Nephew PLC ADRs","United Kingdom","LN:SN","London Stock Exchange","Financials","$16,711,988,882","39.84","2.09","3.17","1.96%","465,198","Analyze"
"SUZ","Suzano Papel e Celulose S.A. ADRs","Brazil","BS:SUZB3","XBSP","Materials","$16,621,028,361","38.08","3.07","2.30","0.81%","607,254","Analyze"
"WPP","WPP PLC ADRs","Australia","LN:WPP","London Stock Exchange","Communication Services","$16,216,253,647","0.00","0.59","3.34","4.54%","107,618","Analyze"
"LFC","China Life Insurance Co Ltd ADRs","China","HK:2628","Hong Kong Exchange","Financials","$15,522,291,050","7.75","0.29","0.03","4.95%","570,848","Analyze"
"ARGX","argenx SE ADRs","The Netherlands","NA:ARGX","Nyse Euronext - Euronext Amsterdam","Health Care","$14,793,972,644","0.00","280.83","10.84","0.00%","186,695","Analyze"
"NICE","Nice Ltd ADRs","Israel","IT:NICE","Tel Aviv Stock Exchange","Information Technology","$14,555,160,086","74.01","8.83","5.68","7.09%","312,385","Analyze"
"JHX","James Hardie Industries ADRs","Australia","AT:JHX","Asx - All Markets","Materials","$14,421,616,850","84.29","5.29","11.29","0.00%","28,094","Analyze"
"GDS","GDS Holdings ADRs","China","PRIVATE","","Information Technology","$14,333,004,162","0.00","21.60","0.54","0.00%","1,618,867","Analyze"
"TTM","Tata Motors Ltd ADRs","India","IS:TATAMOTORS","National Stock Exchange Of India","Consumer Discretionary","$13,898,808,304","10.68","0.43","2.49","1.43%","1,289,346","Analyze"
"KEP","Korea Electric Power Corp ADRs","South Korea","KP:015760","Korea Exchange (Stock Market)","Utilities","$13,660,995,559","7.77","0.27","0.00","10.32%","201,784","Analyze"
"TS","Tenaris SA ADRs","Argentina","IM:TEN","Borsa Italiana S.P.A.","Energy","$13,582,076,229","-21.41","2.94","1.21","0.61%","1,972,207","Analyze"
"SNP","China Petroleum & Chemical Corp ADRs","China","HK:0386","Hong Kong Exchange","Energy","$13,481,300,956","12.79","0.03","0.02","6.91%","151,016","Analyze"
"VIV","Telefonica Brasil S.A. ADRs","Brazil","BS:VIVT3","XBSP","Communication Services","$13,291,141,495","16.11","1.76","0.19","0.94%","1,756,662","Analyze"
"IHG","InterContinental Hotels Group PLC ADRs","United Kingdom","LN:IHG","London Stock Exchange","Consumer Discretionary","$13,072,483,861","-66.87","3.57","-7.04","0.00%","100,927","Analyze"
"ENIA","Enel Americas SA ADRs","Chile","CC:ENELAM","Santiago Stock Exchange","Utilities","$12,767,282,994","15.47","1.14","1.66","5.90%","2,499,842","Analyze"
"TEVA","Teva Pharmaceutical Industries Ltd ADRs","Israel","IT:TEVA","Tel Aviv Stock Exchange","Health Care","$12,625,704,921","-3.16","0.76","1.26","0.00%","8,367,152","Analyze"
"IQ","iQIYI Inc. ADRs","China","PRIVATE","","Communication Services","$12,390,806,456","26.45","2.74","0.69","0.00%","30,154,311","Analyze"
"OZON","Ozon Holdings PLC ADRs","Russia","PRIVATE","","Consumer Discretionary","$12,017,473,062","0.00","9.63","0.15","0.00%","993,966","Analyze"
"VEDL","Vedanta Ltd ADRs","India","IS:VEDL","National Stock Exchange Of India","Materials","$11,895,029,248","10.03","1.04","0.02","3.98%","1,036,700","Analyze"
"BCH","Banco de Chile ADRs","Chile","CC:CHILE","Santiago Stock Exchange","Financials","$11,879,608,749","13.18","4.57","0.00","2.51%","90,421","Analyze"
"ATHM","Autohome Inc. ADRs","China","PRIVATE","","Communication Services","$11,793,063,678","21.48","8.95","0.67","1.75%","1,183,139","Analyze"
"NTCO","Natura &Co Holding S.A. ADRs","Brazil","BS:NTCO3","XBSP","Consumer Staples","$11,680,705,891","195.97","1.83","0.43","0.00%","522,131","Analyze"
"BSAC","Banco Santander Chile ADRs","Chile","CC:BSANTANDER","Santiago Stock Exchange","Financials","$11,551,747,573","12.37","3.98","0.00","1.66%","447,311","Analyze"
"TUYA","Tuya Inc. ADRs of class A","China","PRIVATE","","Information Technology","$11,234,382,848","0.00","0.00","0.00","0.00%","5,453,897","Analyze"
"WB","Weibo Corp ADRs","China","PRIVATE","","Communication Services","$11,173,525,000","19.72","6.61","2.20","0.00%","2,015,983","Analyze"
"ZLAB","Zai Lab Limited ADRs","China","PRIVATE","","Health Care","$11,083,788,033","-45.20","152.22","9.48","0.00%","439,212","Analyze"
"FUTU","Futu Holdings Limited ADRs","China","PRIVATE","","Financials","$10,917,585,560","113.73","32.47","1.31","0.00%","12,572,316","Analyze"
"CX","Cemex SAB de CV ADRs","Mexico","MM:CEMEXCPO","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Materials","$10,560,672,013","-7.20","0.79","1.31","0.14%","9,321,770","Analyze"
"RDY","Dr. Reddys Laboratories ADRs","India","IS:DRREDDY","National Stock Exchange Of India","Health Care","$10,329,636,438","35.70","3.96","0.06","0.54%","185,803","Analyze"
"AEG","Aegon NV  ADRs","The Netherlands","NA:AGN","Nyse Euronext - Euronext Amsterdam","Financials","$10,146,769,426","4.12","0.08","0.40","2.95%","2,550,801","Analyze"
"MLCO","Melco Resorts & Entertainment Limited ADRs","Hong Kong","PRIVATE","","Consumer Discretionary","$9,778,262,959","-7.74","5.97","8.87","0.81%","1,966,525","Analyze"
"AU","AngloGold Ashanti ADRs","South Africa","SJ:ANG","Johannesburg Stock Exchange","Materials","$9,575,698,415","11.19","1.90","2.59","2.03%","3,802,887","Analyze"
"KC","Kingsoft Cloud Holdings Limited ADRs","China","PRIVATE","","Information Technology","$9,566,619,572","0.00","9.55","1.16","0.00%","2,328,540","Analyze"
"SSL","Sasol Ltd ADRs","South Africa","SJ:SOL","Johannesburg Stock Exchange","Materials","$9,372,131,968","13.07","0.58","0.06","6.32%","574,343","Analyze"
"SID","Companhia Siderurgica Nacional-CSN ADRs","Brazil","BS:CSNA3","XBSP","Materials","$9,254,785,393","14.09","1.58","0.93","0.03%","4,071,611","Analyze"
"GFI","Gold Fields ADRs","South Africa","SJ:GFI","Johannesburg Stock Exchange","Materials","$9,088,655,985","20.08","2.10","2.48","3.00%","7,651,984","Analyze"
"MBT","Mobile TeleSystems PJSC ADRs","Russia","RX:MTSS","Standard-Classica-Forts","Communication Services","$8,263,307,817","68.31","1.27","0.29","9.60%","4,551,718","Analyze"
"PSO","Pearson PLC ADRs","United Kingdom","LN:PSON","London Stock Exchange","Consumer Discretionary","$8,223,195,075","19.28","1.33","1.99","2.42%","251,486","Analyze"
"EBR","Centrais Eletricas Brasileiras ADRs","Brazil","BS:ELET3","XBSP","Utilities","$8,052,301,343","8.87","1.58","0.11","4.72%","986,219","Analyze"
"EBR.B","Centrais Electricas Brasileiras S.A. ADRs of Preferred Shares","Brazil","BS:ELET6","XBSP","Utilities","$8,052,301,343","8.62","1.38","0.00","5.30%","29,117","Analyze"
"TX","Ternium S.A. ADRs","Argentina","PRIVATE","","Materials","$8,004,940,556","10.28","0.92","1.10","3.01%","781,178","Analyze"
"LPL","LG Display Co Ltd ADRs","South Korea","KP:034220","Korea Exchange (Stock Market)","Information Technology","$7,685,881,236","0.00","0.33","0.00","4.46%","577,441","Analyze"
"PTR","PetroChina Co Ltd ADRs","China","HK:0857","Hong Kong Exchange","Energy","$7,595,604,000","24.06","0.03","0.01","5.10%","206,088","Analyze"
"MNSO","MINISO Group Holding Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$7,316,678,144","0.00","5.51","0.00","0.00%","954,415","Analyze"
"ASND","Ascendis Pharma ADRs","Denmark","PRIVATE","","Health Care","$7,078,925,836","0.00","865.80","8.44","0.00%","225,238","Analyze"
"GWPH","GW Pharmaceuticals PLC ADRs","United Kingdom","PRIVATE","","Health Care","$6,861,472,616","-118.04","13.01","9.26","0.00%","735,640","Analyze"
"WF","Woori Financial Group Inc. ADRs","South Korea","KP:316140","Korea Exchange (Stock Market)","Financials","$6,548,560,317","5.84","1.12","0.00","1.17%","16,284","Analyze"
"SQM","Sociedad Quimica y Minera de Chile ADRs of B Shares","Chile","CC:SQMB","Santiago Stock Exchange","Materials","$6,478,688,633","39.38","3.44","3.05","0.81%","900,390","Analyze"
"KT","KT Corp ADRs","South Korea","KP:030200","Korea Exchange (Stock Market)","Communication Services","$6,423,350,477","10.39","0.30","0.00","9.54%","1,009,375","Analyze"
"YY","YY Inc. ADRs","China","PRIVATE","","Communication Services","$6,337,556,522","5.43","1.81","0.16","0.82%","1,567,668","Analyze"
"DADA","Dada Nexus Limited ADRs","China","PRIVATE","","Consumer Discretionary","$6,138,255,200","0.00","7.02","0.87","0.00%","1,711,555","Analyze"
"CSAN","Cosan S.A. ADRs","Brazil","BS:CSAN3","XBSP","Energy","$6,137,355,776","0.00","0.45","0.00","0.00%","893,176","Analyze"
"GGB","Gerdau S.A. ADRs","Brazil","BS:GGBR4","XBSP","Materials","$5,902,060,912","21.83","0.72","0.19","0.43%","15,982,928","Analyze"
"OCFT","OneConnect Financial Technology Co., Ltd. ADRs","China","PRIVATE","","Information Technology","$5,756,304,872","0.00","11.41","1.11","0.00%","398,183","Analyze"
"PHI","PLDT  Inc. ADRs","Philippines","PM:TEL","Philippine Stock Exchange Inc.","Communication Services","$5,721,156,922","11.37","1.54","0.05","5.97%","130,198","Analyze"
"ENIC","Enel Chile ADRs","Chile","CC:ENELCHILE","Santiago Stock Exchange","Utilities","$5,367,324,839","9.68","1.48","0.00","6.07%","490,938","Analyze"
"TIMB","TIM S.A. ADRs","Brazil","BS:TIMS3","XBSP","Communication Services","$5,257,987,157","15.67","0.30","0.23","4.93%","581,008","Analyze"
"GLPG","Galapagos NV ADRs","Belgium","NA:GLPG","Nyse Euronext - Euronext Amsterdam","Health Care","$5,257,304,375","60.65","8.74","1.97","0.00%","232,182","Analyze"
"TV","Grupo Televisa SAB ADRs","Mexico","MM:TLEVISACPO","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Materials","$5,251,327,200","17.51","1.09","0.07","0.19%","1,701,336","Analyze"
"AMOV","America Movil - Series A ADRs","Mexico","MM:AMXL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Communication Services","$5,247,935,279","0.01","0.01","0.00","1.21%","5,510","Analyze"
"AMX","America Movil SAB de CV ADRs Series L","Mexico","MM:AMXL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Communication Services","$5,247,935,279","20.54","0.10","0.02","0.12%","2,068,802","Analyze"
