"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"IRCP","IRSA Propiedades Comerciales ADRs","Argentina","AF:IRCP","Bolsa de Comercio de Buenos Aires","Real Estate","$309,999,360","1.28","3.45","0.00","2.02%","13,931","Analyze"
"ZEPP","Zepp Health Corporation ADRs","China","PRIVATE","","Information Technology","$300,881,657","24.70","0.31","0.11","0.00%","556,921","Analyze"
"QH","Quhuo Limited ADRs of Class A","China","PRIVATE","","Information Technology","$279,131,854","300.99","0.46","0.51","0.00%","52,397","Analyze"
"VIAO","VIA optronics AG ADRs","Germany","PRIVATE","","Information Technology","$276,250,000","0.00","1.44","3.56","0.00%","60,892","Analyze"
"CRESY","Cresud SACIF ADRs","Argentina","AF:CRES","Bolsa de Comercio de Buenos Aires","Real Estate","$273,895,440","0.00","0.24","0.01","0.00%","218,691","Analyze"
"PUYI","Puyi Inc. ADRs","China","PRIVATE","","Financials","$272,019,189","-18.14","1.92","0.74","0.00%","283,864","Analyze"
"YJ","Yunji Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$259,160,799","7.59","0.31","0.20","0.00%","620,873","Analyze"
"NCNA","NuCana plc ADRs","United Kingdom","PRIVATE","","Health Care","$257,916,965","0.00","0.00","2.60","0.00%","183,157","Analyze"
"CNF","CNFinance Holdings Limited ADRs","China","PRIVATE","","Financials","$257,183,108","15.37","1.00","0.07","0.00%","35,435","Analyze"
"TLC","Taiwan Liposome Company, Ltd. - ADRs","Taiwan","TG:4152","Tapei Exchange","Health Care","$253,306,249","0.00","70.81","0.29","0.00%","27,391","Analyze"
"COE","China Online Education ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$252,895,990","20.86","0.81","-0.29","0.00%","21,523","Analyze"
"TRVG","Trivago NV ADRs","The Netherlands","PRIVATE","","Information Technology","$251,855,892","31.32","0.86","0.38","0.00%","3,948,111","Analyze"
"EDAP","Edap TMS SA ADRs","France","PRIVATE","","Health Care","$249,743,221","27.59","3.12","9.51","0.00%","295,162","Analyze"
"ONE","OneSmart International Education Group Limited ADRs","China","PRIVATE","","Consumer Discretionary","$248,545,402","49.22","0.49","0.91","0.00%","451,895","Analyze"
"JFU","9F Inc. ADRs","China","PRIVATE","","Communication Services","$233,376,052","9.99","0.51","0.04","0.00%","2,858,924","Analyze"
"VIST","Vista Oil & Gas, S.A.B. de C.V. ADRs of class A shares","Mexico","MM:VISTA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Energy","$233,100,244","-2.27","0.86","0.46","0.00%","498,151","Analyze"
"IRS","IRSA Inversiones y Representaciones ADRs","Argentina","AF:IRSA","Bolsa de Comercio de Buenos Aires","Real Estate","$226,841,172","0.00","0.70","0.00","0.00%","38,074","Analyze"
"OIIM","O2Micro International ADRs","Hong Kong","PRIVATE","","Information Technology","$224,711,190","36.68","2.87","2.67","0.00%","314,828","Analyze"
"REDU","RISE Education Cayman Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$223,255,534","390.26","1.53","0.46","0.00%","57,825","Analyze"
"BLCT","BlueCity Holdings Limited ADRs","China","PRIVATE","","Information Technology","$220,771,806","0.00","1.41","0.29","0.00%","285,186","Analyze"
"SQNS","Sequans Communications S.A. ADRs","France","PRIVATE","","Information Technology","$212,620,371","-4.27","4.18","-5.73","0.00%","332,732","Analyze"
"IMMP","Immutep Limited ADRs","Australia","AT:IMM","Asx - All Markets","Health Care","$210,448,464","0.00","21.17","3.47","0.00%","6,521,223","Analyze"
"CMMB","Chemomab Therapeutics Ltd.  ADRs","Israel","","","Health Care","$209,537,129","0.00","0.00","0.00","0.00%","289,630","Analyze"
"CUK","Carnival PLC ADRs","United Kingdom","LN:CCL","London Stock Exchange","Consumer Discretionary","$208,209,200","-0.02","0.04","0.01","2.23%","1,743,562","Analyze"
"MOGU","MOGU Inc. ADRs Class A","China","PRIVATE","","Consumer Discretionary","$192,676,334","0.00","2.48","0.12","0.00%","404,076","Analyze"
"LOV","Spark Networks Inc. ADRs","Germany","PRIVATE","","Information Technology","$181,355,954","0.00","0.40","1.91","0.00%","144,619","Analyze"
"GNFT","GENFIT S.A. ADRs","France","FP:GNFT","Euronext Paris","Health Care","$177,972,466","-1.77","19.23","5.66","0.00%","40,424","Analyze"
"UCL","uCloudlink Group Inc. ADRs","Hong Kong","PRIVATE","","Communication Services","$173,832,023","-2.69","1.94","3.08","0.00%","11,876","Analyze"
"AIH","Aesthetic Medical International Holdings Group Ltd. ADRs","China","PRIVATE","","Health Care","$173,318,613","8.68","1.46","0.38","0.00%","244,119","Analyze"
"RUHN","Ruhnn Holding Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$161,412,341","0.00","0.86","0.15","0.00%","116,061","Analyze"
"BFRA","Biofrontera AG ADRs","Germany","PRIVATE","","Health Care","$159,092,268","140.93","3.73","-146.90","0.37%","68,100","Analyze"
"CTK","CooTek (Cayman) Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$159,057,389","-3.36","0.36","-11.52","0.00%","465,537","Analyze"
"KZIA","Kazia Therapeutics ADRs","Australia","AT:KZA","Asx - All Markets","Health Care","$157,944,084","0.00","4,876.93","4.99","0.00%","134,541","Analyze"
"BWAY","Brainsway Ltd. ADRs","Israel","IT:BRIN","Tel Aviv Stock Exchange","Information Technology","$155,135,483","-28.81","6.83","7.90","0.00%","50,534","Analyze"
"XIN","Xinyuan Real Estate ADRs","China","PRIVATE","","Real Estate","$154,261,919","-18.24","0.08","0.23","5.97%","111,800","Analyze"
"BEDU","Bright Scholar Education Holdings Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$153,657,739","30.36","0.30","0.05","2.01%","50,822","Analyze"
"ERYP","Erytech Pharma S.A. ADRs","France","FP:ERYP","Euronext Paris","Health Care","$151,694,739","0.00","139.31","5.60","0.00%","6,821","Analyze"
"TEDU","Tarena International ADRs","China","PRIVATE","","Consumer Discretionary","$150,836,022","0.00","0.39","-0.13","0.00%","320,048","Analyze"
"BPTS","Biophytis SA ADRs","France","FP:ALBPS","Euronext Paris","Health Care","$150,129,216","0.00","0.00","-34.84","0.00%","3,118","Analyze"
"RENN","Renren Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$149,965,348","-2.94","0.22","1.52","909.65%","153,425","Analyze"
"KUKE","Kuke Music Holding Limited ADRs","China","PRIVATE","","Consumer Discretionary","$149,637,944","2.65","0.36","0.25","0.00%","385,259","Analyze"
"EM","Smart Share Global Limited ADRs","China","PRIVATE","","Unknown","$149,450,000","0.00","0.00","0.00","0.00%","8,789,939","Analyze"
"SECO","Secoo Holding Limited ADRs","China","PRIVATE","","Consumer Discretionary","$148,375,036","35.56","0.17","0.06","0.00%","458,568","Analyze"
"CIH","China Index Holdings Limited ADRs","China","PRIVATE","","Industrials","$146,769,256","0.50","0.23","0.45","0.00%","68,787","Analyze"
"ELP","Comp. Paranaense de Energia-COPEL ADRs","Brazil","BS:CPLE6","XBSP","Utilities","$143,692,811","4.53","0.03","0.01","6.97%","8,385,368","Analyze"
"XYF","X Financial ADRs of Class A","China","PRIVATE","","Financials","$141,276,366","4.89","0.47","0.04","10.53%","172,402","Analyze"
"SOS","SOS Limited ADRs of Class A","China","PRIVATE","","Health Care","$139,717,340","22.57","2.87","72.21","0.00%","62,505,351","Analyze"
"SUPV","Grupo Supervielle SA ADRs of Class B","Argentina","PRIVATE","","Financials","$137,454,479","4.30","0.31","0.00","2.35%","554,836","Analyze"
"NTZ","Natuzzi S.p.A. ADRs","Italy","PRIVATE","","Consumer Discretionary","$133,073,487","26.79","0.34","1.67","0.00%","10,406","Analyze"
"AACG","ATA Creativity Global ADRs","China","PRIVATE","","Consumer Discretionary","$131,358,599","0.00","5.32","0.66","0.00%","989,405","Analyze"
"ASLN","ASLAN Pharmaceuticals Limited ADRs","Singapore","PRIVATE","","Health Care","$127,269,830","0.00","0.00","-10.40","0.00%","1,702,789","Analyze"
"BLRX","BioLineRX Ltd. ADRs","Israel","IT:BLRX","Tel Aviv Stock Exchange","Health Care","$121,441,336","0.00","0.00","5.51","0.00%","425,676","Analyze"
"MITC","MeaTech 3D Ltd. - ADRs","Israel","","","Consumer Staples","$114,929,727","0.00","0.00","0.00","0.00%","344,181","Analyze"
"KRKR","36Kr Holdings Inc. ADRs","China","PRIVATE","","Communication Services","$113,403,981","0.00","1.27","0.24","0.00%","152,635","Analyze"
"AKTX","Akari Therapeutics PLC ADRs","United Kingdom","PRIVATE","","Health Care","$109,648,959","0.00","0.00","22.57","0.00%","98,466","Analyze"
"QK","Q&K International Group Limited ADRs","China","PRIVATE","","Real Estate","$108,820,512","0.00","0.45","-0.05","0.00%","52,416","Analyze"
"CCM","Concord Medical Services ADRs","China","PRIVATE","","Health Care","$106,975,126","0.00","1.93","-0.30","0.00%","66,374","Analyze"
"EVAX","Evaxion Biotech A/S ADRs","Denmark","PRIVATE","","Health Care","$101,944,927","0.00","0.00","12.90","0.00%","96,931","Analyze"
"LXEH","Lixiang Education Holding Co., Ltd.  ADRs","China","PRIVATE","","Consumer Discretionary","$101,360,507","21.52","5.07","0.56","0.00%","9,949","Analyze"
"CMCM","Cheetah Mobile ADRs","China","PRIVATE","","Information Technology","$100,939,530","5.12","0.43","0.03","25.00%","1,173,910","Analyze"
"CYAD","Celyad SA ADRs","Belgium","BB:CYAD","Nyse Euronext - Euronext Brussels","Health Care","$100,856,608","0.00","10,073.80","3.19","0.00%","11,100","Analyze"
"VJET","voxeljet AG ADRs","Germany","PRIVATE","","Information Technology","$94,173,321","0.00","3.71","4.76","0.00%","69,462","Analyze"
"FHS","First High-School Education Group Co., Ltd. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$90,673,867","3.77","0.19","-0.59","0.00%","638,121","Analyze"
"CLGN","CollPlant Holdings ADRs","Israel","IT:CLPT","Tel Aviv Stock Exchange","Health Care","$87,566,130","-15.17","13.79","19.56","0.00%","58,348","Analyze"
"MITO","Stealth BioTherapeutics Corp. ADRs","Cayman Islands","PRIVATE","","Health Care","$85,923,571","23.04","4.07","37.79","0.00%","185,730","Analyze"
"SFUN","Fang Holdings ADRs","China","PRIVATE","","Communication Services","$82,144,413","-12.18","0.38","0.12","3.20%","4,345","Analyze"
"TRIB","Trinity Biotech PLC ADRs of Class A shares","Ireland","PRIVATE","","Health Care","$77,545,318","-12.14","0.76","-34.95","0.00%","392,475","Analyze"
"RYB","RYB Education ADRs of Class A","China","PRIVATE","","Consumer Staples","$75,944,914","-1.64","0.67","1.47","0.00%","706,147","Analyze"
"JP","Jupai Holdings Limited ADRs","China","PRIVATE","","Financials","$75,520,072","0.00","1.28","0.07","0.00%","95,317","Analyze"
"PPBT","Purple Biotech Ltd. ADRs","Israel","IT:KTOV","Tel Aviv Stock Exchange","Health Care","$74,069,728","-5.33","74.07","0.93","0.00%","386,762","Analyze"
"LAIX","LAIX Inc. ADRs of Class A","China","PRIVATE","","Consumer Staples","$72,557,204","0.00","0.49","-0.11","0.00%","1,661,655","Analyze"
"ADXN","Addex Therapeutics Ltd ADRs","Switzerland","SE:ADXN","Six Swiss Exchange","Health Care","$69,957,603","-5.44","18.84","4.79","0.00%","8,482","Analyze"
"GSUM","Gridsum Holding Inc.  ADRs","China","PRIVATE","","Information Technology","$68,274,960","0.00","1.35","-0.11","0.00%","221,757","Analyze"
"FEDU","Four Seasons Education (Cayman) Inc.  ADRs","China","PRIVATE","","Consumer Staples","$67,714,800","0.00","1.58","0.11","8.04%","6,164,478","Analyze"
"GENE","Genetic Technologies ADRs","Australia","AT:GTG","Asx - All Markets","Health Care","$65,822,106","0.00","6,711.52","5.06","0.00%","565,924","Analyze"
"TC","TuanChe Limited ADRs","China","PRIVATE","","Information Technology","$65,123,912","0.00","1.23","0.21","0.00%","35,347","Analyze"
"FENG","Phoenix New Media ADRs","China","PRIVATE","","Communication Services","$58,631,022","2.23","0.31","0.04","114.27%","5,448,500","Analyze"
"MFH","JMU Limited ADRs","China","PRIVATE","","Consumer Discretionary","$57,486,130","-52.81","15.12","5.13","0.00%","1,105,680","Analyze"
"MRM","MEDIROM Healthcare Technologies Inc. ADRs","Japan","PRIVATE","","Consumer Discretionary","$56,968,725","-0.33","0.02","0.15","0.00%","4,238","Analyze"
"OIBR.C","Oi S.A. ADRs","Brazil","BS:OIBR3","XBSP","Communication Services","$54,638,570","0.00","0.03","0.01","0.00%","1,982,844","Analyze"
"ATHE","Alterity Therapeutics Limited ADRs","Australia","AT:PBT","Asx - All Markets","Health Care","$52,100,417","0.00","1,475.41","1.52","0.00%","304,592","Analyze"
"WEI","Weidai Ltd. ADRs of Class A","China","PRIVATE","","Financials","$51,315,580","1.06","0.11","0.03","0.00%","471,323","Analyze"
"ANPC","AnPac Bio-Medical Science Co., Ltd. ADRs of Class A","China","PRIVATE","","Health Care","$50,112,943","0.00","30.34","2.07","0.00%","2,492,087","Analyze"
"STG","Sunlands Online Education Group ADRs of Class A","China","PRIVATE","","Consumer Staples","$49,295,400","0.00","0.15","-0.04","0.00%","845,924","Analyze"
"AMBO","Ambow Education Holding Ltd. ADRs of Class A","China","PRIVATE","","Consumer Staples","$46,520,318","0.00","0.57","0.46","0.00%","711,257","Analyze"
"FWP","Forward Pharma ADRs","Denmark","PRIVATE","","Health Care","$45,975,002","0.00","0.00","0.61","0.00%","49,150","Analyze"
"LBPS","4D pharma plc ADRs","United Kingdom","","","Health Care","$45,780,897","0.00","0.00","0.00","0.00%","33,626","Analyze"
"BVXV","BiondVax Pharmaceuticals Ltd. ADRs","Israel","PRIVATE","","Health Care","$44,392,709","0.00","0.00","-24.11","0.00%","216,560","Analyze"
"MDGS","Medigus Ltd. ADRs","Israel","IT:MDGS","Tel Aviv Stock Exchange","Health Care","$43,466,905","-4.92","98.12","4.24","0.00%","1,755,546","Analyze"
"JT","Jianpu Technology Inc.  ADRs of Class A","China","PRIVATE","","Financials","$42,081,340","0.00","0.17","0.04","0.00%","243,715","Analyze"
"CANF","Can-Fite BioPharma Ltd. ADRs","Israel","IT:CFBI","Tel Aviv Stock Exchange","Health Care","$42,033,530","-2.91","55.09","6.92","0.00%","10,408,826","Analyze"
"ANTE","AirNet Technology Inc. ADRs","China","PRIVATE","","Health Care","$41,469,377","-1.98","1.09","2.60","0.00%","1,980,383","Analyze"
"PT","Pintec Technology Holdings Limited ADRs of Class A","China","PRIVATE","","Information Technology","$40,881,747","-0.04","0.04","0.41","0.00%","677,990","Analyze"
"SFET","Safe-T Group Ltd. ADRs","Israel","IT:SFET","Tel Aviv Stock Exchange","Information Technology","$36,469,893","-4.65","7.46","2.25","0.00%","1,433,352","Analyze"
"MOHO","ECMOHO Limited ADRs","China","PRIVATE","","Consumer Discretionary","$36,136,577","-2.52","0.11","0.48","0.00%","51,236","Analyze"
"LGHL","Lion Group Holding Ltd. ADRs","China","PRIVATE","","Financials","$35,236,844","14.84","1.37","3.27","0.00%","8,893,295","Analyze"
"IMRN","Immuron Limited ADRs","Australia","AT:IMC","Asx - All Markets","Health Care","$34,541,483","0.00","14.11","1.21","0.00%","23,569","Analyze"
"HX","Hexindai Inc. ADRs","China","PRIVATE","","Financials","$32,349,439","-0.42","1.87","1.20","15.34%","259,034","Analyze"
"OSN","Ossen Innovation Co. ADRs","China","PRIVATE","","Materials","$31,533,660","2.97","0.13","0.27","0.00%","40,674","Analyze"
"JRJC","China Finance Online ADRs","China","PRIVATE","","Financials","$30,524,500","-3.66","0.79","1.45","0.00%","90,725","Analyze"
"DXF","Dunxin Financial Holdings Limited ADRs","China","PRIVATE","","Financials","$28,598,571","8.46","1.14","0.08","0.00%","4,017,127","Analyze"
"MTP","Midatech Pharma PLC ADRs","United Kingdom","LN:MTPH","London Stock Exchange","Health Care","$28,522,567","0.00","0.91","6.33","0.00%","241,504","Analyze"
"BNTC","Benitec Biopharma ADRs","Australia","AT:BLT","Asx - All Markets","Health Care","$27,992,870","-2.54","254.24","1.91","0.00%","7,995,083","Analyze"
"EDN","Edenor ADRs","Argentina","AF:EDN","Bolsa de Comercio de Buenos Aires","Utilities","$20,652,360","1.91","0.02","0.00","0.00%","34,498","Analyze"
"XTLB","XTL Biopharmaceuticals ADRs","Israel","IT:XTLB","Tel Aviv Stock Exchange","Health Care","$17,534,220","0.00","0.00","2.83","0.00%","80,714","Analyze"
"PHAR","Pharming Group N.V. ADRs","The Netherlands","NA:PHARM","Nyse Euronext - Euronext Amsterdam","Health Care","$11,778,408","0.00","0.00","0.00","0.00%","3,079","Analyze"
"APOP","Cellect Biotechnology Ltd. ADRs","Israel","PRIVATE","","Health Care","$10,314,560","0.00","0.00","0.69","0.00%","6,061,215","Analyze"
"ORPH","Orphazyme A/S ADRs","Denmark","DC:ORPHA","Omx Nordic Exchange Copenhagen A/S","Health Care","$3,440,000","0.00","0.00","0.01","0.00%","141,939","Analyze"
"TLSA","Tiziana Life Sciences plc  ADRs","United Kingdom","LN:TILS","London Stock Exchange","Health Care","$1,388,901","0.00","0.00","0.28","0.00%","256,215","Analyze"
